대표식품명,설명,주요_재료,맛_특징,조리_방식,상황_태그
두부조림,"두부조림은 두부를 적당한 크기로 썰어 간장 양념에 졸여 만든 반찬으로, 부드러운 두부와 짭짤하면서도 감칠맛 나는 양념이 어우러져 많은 사랑을 받는 한식 반찬입니다. 간단한 재료로 빠르게 만들 수 있어 밥과 함께 즐기기 좋으며, 다양한 채소나 고추를 추가해 맛과 식감을 살릴 수 있습니다.","['두부', '간장', '다진 마늘', '파', '고추', '참기름', '설탕 또는 올리고당']","['짭짤한', '감칠맛 나는', '약간 매운', '고소한']",조림,"['집밥', '빠른 반찬', '건강식', '비오는 날', '술안주', '혼밥', '스트레스 해소']"
땅콩조림,"땅콩조림은 고소하고 달콤한 간장 양념에 땅콩을 졸여 만든 한국의 전통 반찬입니다. 밥과 함께 곁들이기 좋으며, 간단하지만 감칠맛과 고소함이 어우러져 밥상의 밸런스를 잡아줍니다.","['땅콩', '간장', '설탕', '물엿 또는 조청', '참기름', '통깨']","['달콤한', '짭짤한', '고소한', '감칠맛 나는']",조림,"['소풍 반찬', '도시락 메뉴', '간단한 반찬', '아이들 간식', '밥도둑', '가벼운 술안주']"
떡갈비,"떡갈비는 다진 소고기나 돼지고기에 각종 양념을 넣어 손으로 빚어 납작하게 만든 뒤 구워낸 한국 전통 음식입니다. 부드러운 식감과 달콤짭짤한 맛이 조화를 이루며, 고기의 풍미와 양념의 감칠맛이 어우러져 특별한 날이나 잔치 음식으로 사랑받습니다.","['소고기 또는 돼지고기 다짐육', '간장', '설탕', '다진 마늘', '파', '참기름', '후추', '배 또는 사과(갈아서 단맛을 내기 위해)']","['달콤한', '짭짤한', '감칠맛 나는', '부드러운', '고소한']",구이,"['잔치 음식', '특별한 날', '가족 모임', '친구들과의 저녁', '한식 디너', '스트레스 해소', '아이들 간식', '맥주와 함께']"
떡볶이,"쫄깃한 가래떡을 매콤달콤한 고추장 양념에 볶아 만든 한국의 대표적인 길거리 음식으로, 남녀노소 모두에게 사랑받는 간식입니다. 다양한 재료와 소스로 변형이 가능하며, 즉석에서 빠르게 조리해 즐길 수 있습니다.","['가래떡', '고추장', '설탕', '어묵', '대파', '고추가루']","['매콤한', '달콤한', '짭짤한', '칼칼한']",볶음,"['비오는 날', '밤거리 간식', '친구들과의 모임', '스트레스 해소', '간단한 야식', '맥주와 함께']"
라면,"라면은 밀가루로 만든 면을 끓는 물에 익히고, 각종 양념과 함께 먹는 즉석 국수 요리로, 한국에서 매우 인기 있는 간편식입니다. 빠르고 간편하게 조리할 수 있으며, 매콤하거나 짭짤한 맛이 특징입니다.","['밀가루 면', '스프(분말 또는 페이스트)', '건더기(건조 야채, 해산물 등)']","['매운', '짭짤한', '감칠맛 나는', '뜨끈한']",찌개,"['빠른 식사', '야식', '비오는 날', '스트레스 해소', '간단한 한끼', '혼밥', '추운 날씨']"
라볶이,"라면과 떡볶이를 결합한 한국의 인기 길거리 음식으로, 쫄깃한 떡과 라면사리를 매콤달콤한 고추장 소스에 볶아낸 요리입니다. 간단하면서도 중독성 있는 맛으로 남녀노소 모두에게 사랑받으며, 간식이나 간단한 한 끼 식사로 즐겨집니다.","['떡볶이 떡', '라면 사리', '고추장', '어묵', '양파', '대파', '설탕', '고춧가루']","['매콤한', '달콤한', '짭짤한', '쫄깃한']",볶음,"['야식', '친구들과의 모임', '스트레스 해소', '비오는 날', '간편한 식사', '맥주 안주']"
막국수,"막국수는 메밀면을 삶아 차갑게 식힌 후 새콤달콤한 양념장과 함께 비벼 먹는 강원도 춘천 지역의 전통 냉면 요리입니다. 고소한 메밀의 향과 상큼한 양념, 신선한 채소가 어우러져 여름철 대표적인 별미로 사랑받고 있습니다.","['메밀면', '오이', '무', '배', '양념장(고추장, 식초, 설탕 등)']","['새콤한', '달콤한', '상큼한', '담백한']",삶음 및 비빔,"['여름철 별미', '더운 날씨', '가벼운 식사', '야외 나들이', '입맛 돋우는 음식', '친구들과의 모임']"
만두,"만두는 얇은 밀가루 피에 고기, 야채, 두부 등 다양한 속재료를 넣어 만든 한국의 전통 음식으로, 찌거나 굽거나 튀기는 등 다양한 조리법으로 즐길 수 있습니다. 한입에 쏙 들어가는 크기와 풍부한 속재료의 조화로 남녀노소 모두에게 사랑받는 간식이자 식사 대용입니다.","['밀가루', '돼지고기 또는 소고기', '양배추', '두부', '대파', '마늘', '양파', '당면']","['고소한', '담백한', '짭짤한', '은은한 감칠맛']","찌기, 굽기, 튀기기","['겨울철 따뜻한 간식', '명절 음식', '간편한 한끼', '친구들과 모임', '스트레스 해소', '맥주 안주']"
매운탕,"생선과 다양한 해산물을 매콤하고 얼큰한 국물에 끓여내는 한국의 전통 매운탕. 신선한 재료와 고추가루, 된장 등을 사용해 깊고 칼칼한 맛이 특징이며, 추운 날씨나 술자리 후 해장용으로 인기가 높습니다.","['생선 (민물 또는 바닷물 생선)', '두부', '무', '고추가루', '된장', '파', '마늘', '청양고추']","['매운', '칼칼한', '얼큰한', '짭짤한', '깊은 맛']",찌개,"['비오는 날', '추운 겨울밤', '해장', '술자리 후', '가족 모임', '스트레스 해소', '따뜻한 한 끼']"
메추리알장조림,"메추리알장조림은 삶은 메추리알을 간장 양념에 조려 만든 한국의 전통 반찬으로, 짭짤하고 달콤한 맛이 어우러져 밥과 함께 즐기기 좋은 반찬입니다. 간장과 설탕, 마늘, 고추 등의 재료로 양념하여 조리하며, 간단하지만 깊은 맛을 내어 밥상에 자주 오르는 인기 있는 반찬입니다.","['메추리알', '간장', '설탕', '마늘', '청양고추 또는 홍고추', '참기름', '통깨']","['짭짤한', '달콤한', '감칠맛 나는', '약간 매콤한']",조림,"['소풍 도시락 반찬', '간단한 반찬 필요할 때', '밥맛 살리는 한 끼', '술안주', '명절 상차림', '스트레스 해소', '아이 간식']"
멸치볶음,"작은 멸치를 기름에 볶아 바삭하면서도 고소한 맛을 낸 한국의 대표적인 반찬으로, 밥과 함께 먹기에 좋고 간단하면서도 영양가가 높은 반찬입니다.","['잔멸치', '식용유 또는 참기름', '간장', '설탕', '마늘', '깨소금']","['짭짤한', '고소한', '약간의 단맛', '감칠맛 나는']",볶음,"['빠른 반찬', '도시락 반찬', '밥반찬 필수', '간단한 한끼', '스트레스 해소', '간식 대용', '술안주']"
무국,"무와 소고기 또는 다시마 육수를 기본으로 한 맑고 시원한 국으로, 한국의 전통적인 국물 요리입니다. 깔끔하고 담백한 맛이 특징이며, 주로 아침 식사나 해장용으로 즐겨 먹습니다.","['무', '소고기 또는 다시마 육수', '마늘', '대파', '국간장']","['담백한', '시원한', '깔끔한', '고소한']",국,"['아침 식사', '해장', '가벼운 식사', '다이어트 식단', '맑은 국물', '정성이 필요한 집밥']"
무생채,"무를 채 썰어 고춧가루, 마늘, 소금, 식초 등으로 양념한 한국의 대표적인 무침 반찬으로, 아삭하고 새콤달콤하며 매콤한 맛이 특징입니다. 주로 밥과 함께 곁들이며 입맛을 돋우는 역할을 합니다.","['무', '고춧가루', '마늘', '소금', '식초', '설탕', '참기름']","['아삭한', '매운', '새콤한', '달콤한', '짭짤한']",무침,"['가벼운 한끼', '여름철 입맛 돋우기', '김밥 또는 비빔밥 곁들임', '빠른 반찬 준비', '피크닉 도시락', '소주 안주']"
물냉면,"물냉면은 차가운 육수에 메밀 또는 감자 전분으로 만든 쫄깃한 면을 담아 먹는 한국의 전통 냉면 요리입니다. 시원하고 상큼한 맛이 특징이며, 여름철 더위를 식히기에 안성맞춤인 음식입니다.","['메밀 또는 감자 전분 면', '차가운 육수 (소고기, 동치미 육수 등)', '오이', '배', '삶은 계란', '무절임', '겨자 소스']","['시원한', '상큼한', '깔끔한', '약간 짭짤한', '담백한']",삶기 및 냉장 보관 후 차갑게 서빙,"['무더운 여름날', '가벼운 식사', '더위 해소', '가족 모임', '야외 나들이', '산뜻한 디저트 대용']"
물회,"신선한 해산물과 채소를 얼음 동동 띄운 시원한 육수에 담가 먹는 한국의 여름철 대표 냉회 요리로, 바다의 신선함과 새콤달콤한 양념이 어우러져 더위를 식히기에 안성맞춤인 음식입니다.","['회 (오징어, 광어, 문어 등)', '오이', '배', '양파', '고추', '얼음', '초고추장 육수']","['시원한', '새콤한', '달콤한', '매콤한', '상큼한']",냉회,"['무더운 여름날', '해변에서의 식사', '더위 해소', '가벼운 식사', '술안주', '야외 피크닉']"
미역국,"미역과 소고기 또는 해산물을 넣고 끓인 한국의 전통 국 요리로, 담백하고 깊은 맛이 특징입니다. 주로 생일이나 산후 조리 음식으로 먹으며, 건강과 재생을 기원하는 의미를 담고 있습니다.","['미역', '소고기 또는 해산물', '마늘', '간장', '참기름']","['담백한', '고소한', '깊은 맛', '깔끔한']",찌개,"['생일', '산후 조리', '건강식', '편안한 식사', '가족 모임', '해장', '따뜻한 아침']"
미역줄기볶음,"미역줄기를 데치고 양념에 재운 후 고소하게 볶아낸 반찬으로, 쫄깃한 식감과 감칠맛이 어우러진 한국의 전통 반찬입니다. 간단하면서도 건강에 좋은 해조류를 활용하여 밥과 함께 먹기 좋습니다.","['미역줄기', '간장', '다진 마늘', '참기름', '통깨', '고춧가루 또는 청양고추 (선택)']","['고소한', '짭짤한', '감칠맛 나는', '약간 매콤한 (선택)']",볶음,"['건강식', '밥반찬', '간단한 한끼', '스트레스 해소', '집밥', '다이어트 식단']"
배추김치,"배추김치는 한국의 대표적인 발효 음식으로, 신선한 배추를 소금에 절여 고춧가루, 마늘, 생강, 젓갈 등을 섞은 양념으로 버무려 발효시킨 반찬입니다. 아삭한 식감과 새콤하면서도 매콤한 맛이 조화를 이루며, 한국 식탁에서 빠질 수 없는 기본 반찬입니다.","['배추', '고춧가루', '마늘', '생강', '젓갈', '파', '소금']","['매운', '새콤한', '짭짤한', '아삭한', '발효된 깊은 맛']",발효,"['가족 식사', '한식과 함께', '비 오는 날', '입맛 돋우기', '건강식', '집밥', '스트레스 해소']"
백김치,"배추를 주재료로 하여 고춧가루를 넣지 않고 담근 김치로, 맑고 시원한 맛이 특징입니다. 백김치는 매운맛이 없고 부드러운 식감과 은은한 단맛, 새콤함이 조화를 이루어 여름철이나 매운 음식을 부담스러워하는 사람들에게 인기가 많습니다.","['배추', '무', '마늘', '생강', '파', '젓갈', '소금', '설탕']","['시원한', '부드러운', '은은한 단맛', '산뜻한', '담백한']",발효,"['여름철 별미', '매운 음식 대체', '가벼운 한끼', '손님 접대', '피로 회복', '맑은 국물 요리와 함께']"
부추김치,"부추를 주 재료로 하여 고춧가루, 마늘, 젓갈 등으로 양념해 만든 한국의 전통 발효김치로, 아삭하고 향긋한 부추의 맛이 살아있으며 깔끔하고 개운한 맛이 특징입니다.","['부추', '고춧가루', '마늘', '젓갈', '소금', '설탕']","['매운', '아삭한', '향긋한', '짭짤한', '개운한']",발효,"['봄철 입맛 돋우기', '비빔밥과 함께', '가벼운 반찬', '스트레스 해소', '술안주', '빠른 준비']"
비빔냉면,"차갑고 쫄깃한 메밀면에 매콤달콤한 고추장 양념과 각종 채소, 삶은 달걀을 곁들여 비벼 먹는 한국의 대표적인 여름철 냉면 요리입니다. 새콤한 맛과 매운 맛이 조화를 이루어 입맛을 돋우며, 더운 날씨에 시원하게 즐기기 좋습니다.","['메밀면', '고추장 양념', '오이', '배', '삶은 달걀', '무생채', '참기름']","['매콤한', '새콤한', '달콤한', '시원한', '쫄깃한']",무침,"['더운 여름날', '가벼운 한끼', '입맛 없을 때', '야외 피크닉', '스트레스 해소', '친구들과의 모임']"
비빔밥,"여러 가지 나물과 고기, 고추장, 계란 등을 밥 위에 올려 비벼 먹는 한국의 전통 혼합밥 요리로, 각 재료의 조화로운 맛과 식감을 즐길 수 있습니다. 다양한 지역별 변형이 있으며, 영양 균형이 뛰어나 건강식으로도 사랑받습니다.","['밥', '고추장', '나물 (시금치, 고사리, 도라지 등)', '쇠고기 또는 돼지고기', '계란', '참기름', '김']","['매콤한', '고소한', '짭짤한', '신선한', '풍부한 맛']",비빔,"['빠른 점심 식사', '건강식', '야외 소풍', '혼밥', '스트레스 해소', '여름철 가벼운 식사']"
삼계탕,"삼계탕은 통닭 속에 찹쌀, 인삼, 대추, 마늘 등을 넣고 푹 끓여 만든 한국의 전통 보양식으로, 여름철 무더위를 이겨내기 위해 즐겨 먹는 대표적인 보양 음식입니다.","['영계(어린 닭)', '찹쌀', '인삼', '대추', '마늘']","['담백한', '고소한', '깊은 맛', '부드러운']",찌개,"['무더운 여름', '보양식', '가족 모임', '건강 회복', '기운이 없을 때', '전통 음식']"
새우튀김,"신선한 새우에 바삭한 튀김옷을 입혀 기름에 튀긴 한국식 튀김 요리로, 겉은 바삭하고 속은 촉촉한 식감이 특징입니다. 간단하면서도 고소한 맛이 일품이며, 간장이나 칠리 소스와 함께 즐기기 좋습니다.","['새우', '튀김가루', '물', '식용유']","['고소한', '바삭한', '담백한', '약간 짭짤한']",튀김,"['간단한 간식', '맥주와 함께', '야외 나들이', '파티 음식', '빠른 식사', '스트레스 해소']"
생선전,"생선을 얇게 저며 밀가루와 계란 옷을 입혀 노릇노릇하게 부친 한국 전통 음식으로, 담백하고 고소한 맛이 특징입니다. 잔치나 명절에 자주 등장하며, 간단한 안주나 반찬으로도 인기가 많습니다.","['생선 (흰살 생선)', '밀가루', '계란', '소금', '후추']","['담백한', '고소한', '짭짤한', '부드러운']",부침 (팬에 지짐),"['명절 음식', '잔치상', '간단한 안주', '가벼운 식사', '가족 모임', '따뜻한 봄날', '막걸리와 함께']"
송편,"송편은 한국의 전통 명절인 추석에 즐겨 먹는 반달 모양의 찐 떡으로, 쫄깃한 찹쌀가루 반죽 안에 달콤하거나 고소한 소를 넣어 만듭니다. 주로 밤, 깨, 팥 등으로 속을 채우며, 가족과 함께 송편을 빚으며 정을 나누는 문화가 있습니다.","['찹쌀가루', '깨', '설탕', '참기름', '밤', '팥']","['달콤한', '고소한', '쫄깃한', '담백한']",찜,"['추석 명절', '가족 모임', '전통 행사', '정겨운 분위기', '소풍 간식', '따뜻한 차와 함께']"
수육,"수육은 돼지고기를 물에 삶아 부드럽고 담백하게 즐기는 한국의 전통 요리입니다. 고기의 본연의 맛과 식감을 살리기 위해 간단한 양념과 함께 제공되며, 주로 쌈채소와 함께 먹거나 막걸리, 소주와 곁들여 즐깁니다.","['돼지고기(주로 삼겹살 또는 목살)', '마늘', '대파', '생강', '후추']","['담백한', '부드러운', '고소한', '은은한 향']",삶기,"['가족 모임', '술안주', '추운 날씨', '건강식', '편안한 저녁', '스트레스 해소']"
수제비,"밀가루 반죽을 손으로 뜯어 넣어 끓인 한국 전통의 국물 요리로, 간단하면서도 구수한 맛이 특징입니다. 다양한 채소와 고기가 함께 어우러져 담백하고 따뜻한 맛을 즐길 수 있는 서민 음식입니다.","['밀가루', '물', '감자', '호박', '양파', '마늘', '고추가루', '파', '멸치 육수 또는 다시마 육수']","['담백한', '구수한', '깔끔한', '약간 매콤한']",찌개,"['비오는 날', '따뜻한 한 끼', '간단한 저녁', '속을 달래고 싶을 때', '가족 식사', '스트레스 해소', '시간 없을 때 빠른 요리']"
숙주나물,"숙주나물은 숙주를 데치거나 살짝 볶아 간단히 무친 한국의 대표적인 반찬입니다. 아삭하고 신선한 식감과 은은한 고소함이 특징이며, 다양한 한식 요리와 잘 어울립니다.","['숙주', '참기름', '소금', '다진 마늘', '파']","['담백한', '고소한', '아삭한', '깔끔한']",볶음,"['가벼운 한 끼', '다이어트 식단', '빠른 반찬', '봄철 신선한 맛', '건강식', '가정식']"
순대,"순대는 돼지의 창자에 당면, 돼지고기, 채소 등을 넣어 쪄서 만든 한국의 전통적인 길거리 음식입니다. 쫄깃한 식감과 고소한 맛이 어우러져 남녀노소 모두에게 사랑받으며, 다양한 소스와 함께 즐길 수 있습니다.","['돼지 창자', '당면', '돼지고기', '채소 (부추, 양파 등)', '선지']","['고소한', '담백한', '쫄깃한', '약간 짭짤한']",찜,"['길거리 음식', '술안주', '친구들과의 모임', '간식', '시장 나들이', '비 오는 날', '소주와 함께']"
순두부찌개,"부드럽고 순한 순두부를 주재료로 하여 해산물이나 고기, 채소와 함께 얼큰하게 끓여내는 한국의 전통 찌개. 순두부의 고소하고 부드러운 식감과 얼큰하고 칼칼한 국물이 조화를 이루어 누구나 부담 없이 즐길 수 있는 인기 있는 메뉴입니다.","['순두부', '고추가루', '해산물 또는 돼지고기', '계란', '파', '마늘']","['매운', '부드러운', '칼칼한', '고소한']",찌개,"['추운 겨울날', '속을 편안하게 하고 싶을 때', '해장', '가벼운 저녁식사', '스트레스 해소', '친구들과의 소소한 모임']"
시금치나물,"시금치를 데쳐서 간장, 참기름, 마늘 등으로 양념한 한국 전통 반찬으로, 담백하고 고소한 맛이 특징입니다. 간단하면서도 영양가가 높아 밥상에 자주 오르는 건강한 나물 반찬입니다.","['시금치', '간장', '참기름', '마늘', '소금']","['담백한', '고소한', '약간 짭짤한', '신선한']",무침,"['건강식', '빠른 반찬', '가벼운 식사', '비오는 날', '집밥 감성', '다이어트 식단']"
식혜,"식혜는 밥과 엿기름을 발효시켜 만든 전통 한국식 달콤한 음료로, 시원하고 은은한 단맛과 고소한 맛이 특징입니다. 주로 명절이나 잔치에서 후식이나 입가심용으로 즐겨 마시며, 소화를 돕는 역할도 합니다.","['찹쌀 또는 쌀', '엿기름', '설탕', '생강']","['달콤한', '고소한', '부드러운', '상쾌한']",발효 및 숙성,"['명절 음식', '입가심', '더운 여름', '소화 촉진', '가벼운 후식', '가족 모임']"
알밥,"알밥은 밥 위에 다양한 생선 알과 채소, 김가루 등을 올려 고추장 양념과 함께 비벼 먹는 한국의 대표적인 혼합 밥 요리입니다. 고소하고 톡톡 터지는 알의 식감과 매콤달콤한 양념이 어우러져 입맛을 돋우는 메뉴로, 간편하면서도 풍부한 맛을 즐길 수 있습니다.","['밥', '명란젓 또는 날치알', '오이', '달걀', '김가루', '고추장', '참기름']","['매콤한', '고소한', '톡톡 터지는 식감', '짭짤한', '감칠맛 나는']",볶음 또는 비빔,"['빠른 식사', '간단한 한 끼', '스트레스 해소', '혼밥', '야식', '친구들과 소주 한잔', '비오는 날', '포만감 있는 식사']"
약과,"약과는 밀가루 반죽에 꿀과 참기름을 넣어 반죽한 후, 기름에 튀겨서 만든 한국 전통 과자로, 고소하고 달콤한 맛이 특징입니다. 주로 명절이나 제사 때 많이 먹으며, 바삭하면서도 쫄깃한 식감이 매력적입니다.","['밀가루', '꿀', '참기름', '생강즙', '설탕', '식용유']","['달콤한', '고소한', '바삭한', '쫄깃한']",튀김,"['명절 음식', '전통 행사', '차와 함께', '간식', '소풍', '가족 모임', '추억의 맛']"
약식,"약식은 쌀과 다양한 견과류, 대추, 밤 등을 넣고 꿀 또는 조청으로 달콤하게 맛을 낸 한국의 전통적인 한과입니다. 주로 명절이나 제사 때 즐겨 먹는 음식으로, 고소하고 달콤한 맛과 쫀득한 식감이 특징입니다.","['찹쌀', '대추', '밤', '잣', '호두', '꿀 또는 조청', '참기름']","['달콤한', '고소한', '쫀득한', '풍부한 맛']",찜,"['명절 음식', '제사상', '선물용', '차와 함께', '가족 모임', '전통 행사', '스트레스 해소', '소중한 사람과 나누기']"
어묵볶음,"얇게 썬 어묵을 간장과 고추장 양념에 달콤하고 짭짤하게 볶아낸 반찬으로, 한국 식탁에서 자주 볼 수 있는 흔한 반찬입니다. 씹는 맛이 좋고 간이 잘 배어 밥과 함께 즐기기 좋으며, 간편하게 만들 수 있어 가정식이나 도시락 반찬으로 인기가 많습니다.","['어묵', '양파', '당근', '간장', '고추장', '설탕', '참기름', '다진 마늘']","['달콤한', '짭짤한', '감칠맛 나는', '약간 매콤한']",볶음,"['도시락 반찬', '빠른 식사 준비', '간단한 반찬', '야근할 때', '친구들과 간단한 술안주', '비 오는 날 생각나는 음식']"
연근조림,"연근을 먹기 좋은 크기로 썰어 간장, 설탕, 참기름 등으로 양념하여 조린 한국의 전통 반찬입니다. 아삭아삭한 식감과 달콤짭짤한 맛이 어우러져 밥과 잘 어울리며, 건강에도 좋은 영양가 높은 음식입니다.","['연근', '간장', '설탕', '참기름', '물엿 또는 올리고당', '깨']","['달콤한', '짭짤한', '고소한', '아삭한 식감']",조림,"['가정식', '명절 반찬', '건강식', '도시락 반찬', '밥반찬', '잔치상', '아이 반찬']"
열무김치,"열무김치는 어린 무청을 주재료로 하여 만든 한국의 전통 발효 반찬으로, 시원하고 상큼한 맛이 특징입니다. 여름철에 특히 인기가 많으며, 밥이나 국수와 함께 먹으면 더운 날씨에 부담 없이 즐길 수 있는 대표적인 김치입니다.","['열무(어린 무청)', '고춧가루', '마늘', '생강', '새우젓', '파', '젓갈', '소금', '설탕']","['시원한', '상큼한', '약간 매운', '짭짤한', '깔끔한']",절임 및 발효,"['여름철 별미', '더운 날씨', '가벼운 식사', '밥 반찬', '시원한 해장', '피크닉 도시락', '가족 모임']"
오이소박이,"오이를 속을 파내어 배추김치 양념을 채워 넣고 숙성시킨 한국의 전통 김치 중 하나로, 아삭한 식감과 시원한 맛이 특징입니다. 주로 여름철에 즐겨 먹으며, 입맛을 돋우는 반찬으로 사랑받고 있습니다.","['오이', '배추김치 양념 (고춧가루, 마늘, 생강, 젓갈 등)', '쪽파', '당근', '무']","['아삭한', '시원한', '매콤한', '새콤한']",절임,"['여름철', '가벼운 식사', '입맛 돋우기', '피크닉', '가족 모임', '비 오는 날', '전통 한식']"
오징어채볶음,"마른 오징어채를 고추장, 간장, 설탕 등으로 양념하여 달콤하고 매콤하게 볶아낸 한국식 반찬으로 밥과 잘 어울립니다. 쫄깃한 식감과 감칠맛이 특징이며, 간단하지만 자주 찾게 되는 밑반찬입니다.","['오징어채', '고추장', '간장', '설탕', '참기름', '다진 마늘', '통깨']","['달콤한', '매콤한', '짭짤한', '감칠맛 나는']",볶음,"['빠른 반찬', '도시락 반찬', '술안주', '집밥 느낌', '간단한 요리', '스트레스 해소']"
오징어튀김,"신선한 오징어를 먹기 좋은 크기로 자른 후, 바삭하게 튀겨낸 한국의 대표적인 간식 및 안주 요리입니다. 겉은 바삭하고 속은 쫄깃한 식감이 조화를 이루며, 보통 매콤한 양념장이나 케첩과 함께 즐깁니다.","['오징어', '튀김가루', '식용유', '소금', '후추']","['바삭한', '짭짤한', '고소한', '담백한']",튀김,"['맥주와 함께', '간단한 안주', '야식', '길거리 음식', '친구들과 모임', '스트레스 해소']"
우엉조림,"우엉을 얇게 썰어 간장과 설탕, 참기름 등으로 달콤하고 짭짤하게 조린 반찬으로, 아삭한 식감과 은은한 고소함이 어우러진 한국의 전통 밑반찬입니다.","['우엉', '간장', '설탕', '참기름', '물엿 또는 올리고당', '깨']","['달콤한', '짭짤한', '고소한', '아삭한 식감']",조림,"['도시락 반찬', '가벼운 한끼', '명절상', '건강식', '아이 반찬', '마음 안정', '소풍']"
육개장,"육개장은 소고기와 다양한 채소를 매운 고추장과 고춧가루로 얼큰하게 끓여낸 한국의 전통 매운 국물 요리입니다. 진한 국물 맛과 쫄깃한 소고기, 아삭한 나물의 조화가 특징이며, 속을 든든히 채워주는 보양식으로 사랑받습니다.","['소고기', '고사리', '숙주', '파', '고추장', '고춧가루', '마늘', '달걀']","['매운', '얼큰한', '깊은 맛', '칼칼한', '고소한']",찌개,"['추운 겨울', '해장', '스트레스 해소', '든든한 한 끼', '명절 음식', '친구들과의 모임']"
육회,"신선한 생고기를 얇게 썰어 고소한 참기름과 각종 양념으로 맛을 낸 한국의 대표적인 생고기 요리. 부드럽고 쫄깃한 식감과 고소하면서도 감칠맛 나는 풍미가 특징이며, 주로 전채 요리나 술안주로 즐겨집니다.","['소고기 (생고기)', '참기름', '간장', '설탕', '다진 마늘', '배', '파', '깨', '달걀 노른자']","['고소한', '담백한', '짭짤한', '달콤한', '신선한']",생고기 무침,"['특별한 날', '술안주', '더운 여름', '가벼운 식사', '친구들과의 모임', '스트레스 해소']"
잔치국수,"잔치국수는 고명과 국물이 풍부하게 올라간 한국의 전통 국수 요리로, 잔치나 특별한 날에 자주 제공됩니다. 얇고 부드러운 국수에 깊고 깔끔한 멸치 육수 국물이 어우러져 담백하면서도 고소한 맛이 특징입니다.","['국수(소면)', '멸치 육수', '계란 지단', '김가루', '파', '어묵', '고명용 쇠고기 또는 닭고기']","['담백한', '고소한', '깔끔한', '은은한 감칠맛']",국물 요리,"['잔치나 명절', '가벼운 식사', '더운 날 시원하게', '친구 및 가족 모임', '스트레스 해소', '비오는 날 따뜻하게']"
잡곡밥,"잡곡밥은 쌀에 여러 가지 잡곡을 섞어 지은 밥으로, 건강에 좋은 영양소가 풍부하며 고소하고 담백한 맛이 특징입니다. 다양한 잡곡이 어우러져 식감이 풍부하고 포만감이 높아 한국인의 일상 식사에서 건강한 밥으로 널리 사랑받고 있습니다.","['쌀', '흑미', '조', '수수', '기장', '팥', '보리']","['고소한', '담백한', '구수한', '쫄깃한']",밥 짓기(찜),"['건강식', '다이어트 식단', '가벼운 식사', '아침 식사', '가족 모임', '자연 친화적', '스트레스 해소', '비오는 날', '운동 후 영양 보충']"
잡채,"당면과 다양한 채소, 고기를 간장 베이스 양념과 함께 볶아 만든 한국의 전통적인 반찬이자 명절 음식입니다. 쫄깃한 당면과 달콤짭짤한 소스가 어우러져 부드럽고 풍부한 맛을 자랑합니다.","['당면', '소고기', '시금치', '당근', '양파', '버섯', '계란', '간장', '참기름', '마늘']","['달콤한', '짭짤한', '고소한', '담백한', '쫄깃한']",볶음,"['명절 음식', '소풍 도시락', '손님 접대', '가벼운 식사', '홈파티', '기분 전환', '따뜻한 봄날']"
장어구이,"장어를 손질하여 양념에 재운 후 숯불이나 팬에 구워내는 한국 전통 음식으로, 고소하고 쫄깃한 식감과 함께 감칠맛이 뛰어납니다. 영양가가 높아 체력 보충과 건강식으로도 인기가 많으며, 특히 여름철 보양식으로 사랑받습니다.","['장어', '간장', '마늘', '설탕', '참기름', '청주', '고추장(선택)']","['고소한', '달콤한', '짭짤한', '감칠맛 나는', '담백한']",구이,"['여름 보양식', '가족 모임', '특별한 날', '소주와 함께', '건강 챙기기', '활력 충전', '야외 바비큐']"
장조림,"장조림은 간장과 설탕 등으로 만든 양념장에 소고기나 돼지고기를 간장 양념과 함께 오래 끓여 만든 반찬으로, 고기의 부드러운 식감과 짭짤하면서도 은은한 단맛이 어우러진 한국 전통 밑반찬입니다. 밥과 함께 먹거나 김밥, 도시락 반찬으로도 사랑받는 대표적인 가정식 반찬입니다.","['소고기 또는 돼지고기', '간장', '설탕', '마늘', '청양고추 또는 고추', '참기름', '통후추']","['짭짤한', '달콤한', '감칠맛 나는', '부드러운']",조림,"['가정식', '도시락 반찬', '정성 가득한 한 끼', '담백한 술안주', '추억 소환', '느긋한 저녁 식사']"
전복죽,"전복죽은 신선한 전복과 쌀을 함께 끓여 만든 영양가 높은 한국 전통 죽 요리입니다. 부드럽고 고소한 맛이 특징이며, 소화가 잘 되어 환자식이나 보양식으로 많이 사랑받습니다.","['전복', '쌀', '물 또는 육수', '참기름', '소금', '마늘', '파']","['고소한', '담백한', '부드러운', '깊은 맛']",죽(끓이기),"['병후 회복', '보양식', '속을 편안하게 할 때', '부모님 효도 음식', '조용한 아침', '스트레스 해소', '건강 관리']"
제육볶음,"매콤한 고추장 양념에 돼지고기와 각종 채소를 넣고 빠르게 볶아낸 한국의 대표적인 볶음 요리로, 밥과 함께 먹기 좋으며 대중적인 인기 메뉴입니다.","['돼지고기 (주로 앞다리살 또는 목살)', '고추장', '양파', '대파', '마늘', '고추', '간장', '설탕']","['매콤한', '달콤한', '짭짤한', '감칠맛 나는']",볶음,"['빠른 식사', '스트레스 해소', '술안주', '가족 외식', '친구들과의 모임', '여름철 입맛 돋우기']"
